iter	RMSE
0	0.7647806788
1	0.757367606
2	0.7517592567
3	0.745752487
4	0.7417508004
5	0.7369222451
6	0.7334236738
7	0.7303151113
8	0.7256600414
9	0.7219605153
10	0.7176740316
11	0.7140722789
12	0.7106661911
13	0.7081352497
14	0.7053265976
15	0.7029717087
16	0.7005583844
17	0.6979471652
18	0.6959530755
19	0.693784758
20	0.6920593799
21	0.6904170816
22	0.6887513468
23	0.6870479264
24	0.6856741717
25	0.6837186184
26	0.6825291117
27	0.6812864796
28	0.6797085613
29	0.678567758
30	0.6773771886
31	0.6764021598
32	0.6753228848
33	0.6744242384
34	0.6731677164
35	0.6718324488
36	0.6710935554
37	0.6701914354
38	0.6694914534
39	0.6688887512
40	0.668580313
41	0.6676189734
42	0.6668389058
43	0.6660518605
44	0.6660518605
45	0.6653583862
46	0.6648198886
47	0.664636614
48	0.6637588728
49	0.6631019766
50	0.6626515765
51	0.6621705452
52	0.6614813273
53	0.6613012131
54	0.6608502023
55	0.6599586284
56	0.6592554618
57	0.6585959675
58	0.6582142726
59	0.6576630189
60	0.6576190614
61	0.6571588982
62	0.6567977597
63	0.6562597151
64	0.6562597151
65	0.6559178902
66	0.6556686012
67	0.6552610453
68	0.654825734
69	0.6542403327
70	0.6536954965
71	0.6536954965
72	0.6530873368
73	0.6525901319
74	0.6525239479
75	0.6521938437
76	0.6519663729
77	0.6515876838
78	0.6512452996
79	0.6508288258
80	0.65026816
81	0.6499961137
82	0.6497396264
83	0.6494138678
84	0.6490766977
85	0.6485765348
86	0.6485726353
87	0.6482728913
88	0.6478959154
89	0.6476406657
90	0.6474526366
91	0.6470830172
92	0.6467204723
93	0.6465132891
94	0.6460860148
95	0.6457515583
96	0.6453277537
97	0.6453277537
98	0.6449620274
99	0.6447745654
100	0.6443275087
101	0.6438578467
102	0.6435069729
103	0.6433175846
104	0.6430001283
105	0.6425780482
106	0.642304157
107	0.6420503707
108	0.641667367
109	0.6413355652
110	0.6411500311
111	0.6408922263
112	0.6405228062
113	0.6402468782
114	0.6400564403
115	0.6398428593
116	0.6394410711
117	0.6392362364
118	0.6389567253
119	0.6384913673
120	0.6380179335
121	0.6380179335
122	0.6374675143
123	0.637276474
124	0.6369744155
125	0.6366507665
126	0.6364222333
127	0.6360260032
128	0.6356506114
129	0.6351243435
130	0.6347986848
131	0.6342312649
132	0.6338545896
133	0.6334983486
134	0.6331023994
135	0.6329445239
136	0.6326176597
137	0.6324612696
138	0.6320489043
139	0.6319658419
140	0.6311473314
141	0.630840711
142	0.6306646893
143	0.6301530455
144	0.6297905233
145	0.6295328739
146	0.6291418857
147	0.6286809362
148	0.6284142761
149	0.6280470157
150	0.6278042714
151	0.6274778371
152	0.6274778371
153	0.6272766477
154	0.6269946481
155	0.6268113719
156	0.6264652221
157	0.6261811428
158	0.6258807329
159	0.6255880279
160	0.6253376831
161	0.625125715
162	0.6249551621
163	0.6246125745
164	0.6242748121
165	0.6238758478
166	0.6235510685
167	0.6232300106
168	0.6228571088
169	0.6225676968
170	0.6224773117
171	0.6221438527
172	0.6218460711
173	0.6214664994
174	0.6212682387
175	0.6206454929
176	0.6204461505
177	0.6201472971
178	0.6198838166
179	0.6195819797
180	0.619176105
