iter	Passed	Remaining
0	0	2991
1	0	2844
2	0	2746
3	1	2643
4	1	2612
5	1	2559
6	1	2527
7	1	2464
8	2	2460
9	2	2465
10	2	2452
11	2	2460
12	3	2458
13	3	2464
14	3	2478
15	3	2474
16	4	2491
17	4	2474
18	4	2484
19	4	2484
20	5	2477
21	5	2479
22	5	2475
23	5	2479
24	6	2481
25	6	2481
26	6	2479
27	6	2479
28	7	2480
29	7	2487
30	7	2491
31	8	2495
32	8	2500
33	8	2501
34	8	2498
35	9	2499
36	9	2504
37	9	2506
38	9	2506
39	10	2505
40	10	2486
41	10	2486
42	10	2492
43	11	2495
44	11	2463
45	11	2466
46	11	2472
47	11	2452
48	12	2459
49	12	2464
50	12	2470
51	12	2474
52	13	2481
53	13	2459
54	13	2462
55	13	2466
56	14	2468
57	14	2469
58	14	2466
59	14	2471
60	15	2454
61	15	2462
62	15	2466
63	15	2473
64	16	2451
65	16	2454
66	16	2452
67	16	2453
68	17	2458
69	17	2458
70	17	2460
71	17	2440
72	17	2441
73	18	2442
74	18	2433
75	18	2436
76	18	2440
77	19	2444
78	19	2441
79	19	2446
80	19	2446
81	20	2451
82	20	2441
83	20	2446
84	20	2447
85	21	2453
86	21	2442
87	21	2445
88	21	2448
89	22	2451
90	22	2454
91	22	2457
92	23	2458
93	23	2462
94	23	2464
95	23	2466
96	24	2467
97	24	2452
98	24	2455
99	24	2456
100	25	2457
101	25	2455
102	25	2456
103	25	2457
104	26	2458
105	26	2457
106	26	2458
107	26	2460
108	27	2464
109	27	2465
110	27	2466
111	27	2467
112	28	2466
113	28	2467
114	28	2470
115	29	2473
116	29	2473
117	29	2475
118	29	2475
119	30	2476
120	30	2478
121	30	2466
122	30	2469
123	31	2472
124	31	2473
125	31	2475
126	31	2475
127	32	2476
128	32	2475
129	32	2475
130	32	2475
131	33	2476
132	33	2477
133	33	2477
134	33	2478
135	34	2477
136	34	2477
137	34	2477
138	34	2478
139	35	2474
140	35	2476
141	35	2478
142	35	2478
143	36	2479
144	36	2480
145	36	2483
146	37	2483
147	37	2485
148	37	2486
149	37	2486
150	38	2487
151	38	2489
152	38	2480
153	38	2478
154	39	2480
155	39	2480
156	39	2481
157	39	2482
158	40	2483
159	40	2485
160	40	2487
161	40	2489
162	41	2488
163	41	2489
164	41	2488
165	42	2488
166	42	2488
167	42	2488
168	42	2487
169	43	2488
170	43	2483
171	43	2483
172	43	2483
173	44	2484
174	44	2485
175	44	2487
176	44	2489
177	45	2490
178	45	2490
179	45	2491
180	45	2492
